metrica,SEM_RAG (baseline),COM_RAG
modelo,ollama / gemma4:12b,ollama / gemma4:12b
versao_pipeline,2.1.0,2.1.0
limiar_similaridade,0.8,0.8
limiar_derivacao,0.7,0.7
precisao_company,0.760,0.904
recall_company,0.720,0.870
f1_company,0.740,0.887
precisao_address,0.859,0.910
recall_address,0.810,0.873
f1_address,0.834,0.891
precisao_date,0.711,0.756
recall_date,0.646,0.697
f1_date,0.677,0.726
precisao_total,0.723,0.800
recall_total,0.663,0.738
f1_total,0.692,0.768
precisao_micro,0.764,0.844
recall_micro,0.710,0.795
f1_micro,0.736,0.819
taxa_alucinacao,0.062,0.074
taxa_erro_grounded,0.174,0.082
exact_match_doc,0.380,0.530
taxa_json_valido_1a,1.000,0.925
taxa_json_valido_final,1.000,1.000
tempo_llm_medio_s,15.815,18.687
tokens_medios_entrada,896.317,2410.176
tokens_medios_saida,78.167,79.764
custo_medio_usd,0.000,0.000
n_documentos,347,347
n_falhas,0,0
